epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,175.294,1.56092,2.96831,1.61297,0.7353,0.32961,0.3139,0.16254,1.68465,1.83615,1.94712,0.00997429,0.00332476,0.00997429,0.00332476,0.00997429,0.00332476,0.00997429,0.00332476
2,337.027,1.59873,2.28245,1.66078,0.57455,0.25628,0.23947,0.12536,1.97399,2.38786,2.28076,0.0199731,0.00665769,0.0199731,0.00665769,0.0199731,0.00665769,0.0199731,0.00665769
3,492.475,1.71097,2.36153,1.78664,0.19166,0.17235,0.13487,0.0638,2.14902,5.43115,2.55756,0.029967,0.00998899,0.029967,0.00998899,0.029967,0.00998899,0.029967,0.00998899
4,646.614,1.70042,2.1917,1.79015,0.63946,0.29385,0.2819,0.16007,1.82046,2.66097,2.19884,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
5,801.177,1.61045,1.97118,1.71256,0.64372,0.32844,0.31934,0.17522,1.7707,1.90446,2.06479,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
6,957.476,1.55124,1.8275,1.67018,0.70408,0.34957,0.36149,0.20869,1.6675,1.76461,1.9654,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,1111.99,1.51797,1.71898,1.63333,0.60658,0.43102,0.39061,0.22656,1.62091,1.6108,1.88729,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,1270.11,1.49711,1.67094,1.61452,0.58904,0.40562,0.39997,0.23524,1.58899,1.51109,1.86797,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,1425.59,1.4721,1.61165,1.59052,0.72366,0.36691,0.39972,0.24187,1.59174,1.48985,1.89025,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,1577.27,1.45935,1.58516,1.58802,0.62899,0.42915,0.41387,0.24639,1.54238,1.41181,1.81334,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,1731.99,1.44647,1.54399,1.57388,0.58629,0.4633,0.43531,0.2589,1.55773,1.40617,1.84097,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,1887.23,1.43488,1.51737,1.56122,0.79076,0.43721,0.44261,0.26937,1.49782,1.31237,1.76162,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,2042.69,1.42114,1.4899,1.54711,0.57407,0.49083,0.45187,0.2775,1.46133,1.24753,1.72919,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
