epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,365.962,1.56821,2.25919,1.71437,0.63004,0.37086,0.35331,0.1869,1.65283,1.84413,1.9921,0.000195874,0.000195874,0.000195874
2,696.975,1.56919,1.92441,1.73148,0.70706,0.25976,0.31345,0.17933,1.69685,1.77381,2.01565,0.000378825,0.000378825,0.000378825
3,1019.46,1.53736,1.85614,1.70646,0.51544,0.42836,0.39322,0.22197,1.64188,1.66995,1.94843,0.000548722,0.000548722,0.000548722
4,1335.24,1.5067,1.74339,1.67446,0.68926,0.41164,0.41548,0.24234,1.53129,1.4895,1.85574,0.000529259,0.000529259,0.000529259
5,1647.21,1.46966,1.66295,1.65511,0.58966,0.47395,0.42971,0.25904,1.52842,1.4908,1.84738,0.000509678,0.000509678,0.000509678
6,1962.27,1.4227,1.5716,1.61865,0.55799,0.51908,0.45183,0.27106,1.47996,1.3089,1.82114,0.000490098,0.000490098,0.000490098
7,2274.5,1.40261,1.50728,1.59544,0.63802,0.48703,0.47552,0.2858,1.48497,1.28327,1.78911,0.000470518,0.000470518,0.000470518
8,2591.87,1.3748,1.45904,1.5706,0.58929,0.50364,0.48461,0.29795,1.41467,1.19897,1.73756,0.000450937,0.000450937,0.000450937
9,2906.73,1.36614,1.42469,1.55925,0.68693,0.47301,0.47996,0.2935,1.4476,1.1697,1.76481,0.000431357,0.000431357,0.000431357
10,3224.49,1.34586,1.37744,1.54395,0.62782,0.51767,0.50312,0.31631,1.35657,1.08465,1.66246,0.000411776,0.000411776,0.000411776
11,3541.36,1.32761,1.34525,1.53635,0.713,0.46812,0.51196,0.31683,1.37168,1.05918,1.69897,0.000392196,0.000392196,0.000392196
12,3859.99,1.31055,1.31643,1.52105,0.64545,0.52183,0.51164,0.31958,1.3296,1.01972,1.64198,0.000372616,0.000372616,0.000372616
13,4179.28,1.30304,1.28346,1.51394,0.64045,0.54,0.52222,0.32929,1.2918,0.95935,1.60231,0.000353035,0.000353035,0.000353035
14,4497.6,1.28804,1.24906,1.49617,0.65607,0.52226,0.52274,0.33794,1.29443,0.97322,1.60289,0.000333455,0.000333455,0.000333455
15,4814.35,1.27357,1.23143,1.48762,0.65188,0.51343,0.52682,0.3424,1.27118,0.932,1.59707,0.000313874,0.000313874,0.000313874
16,5127.8,1.26007,1.20323,1.47859,0.55952,0.52976,0.51857,0.3392,1.23565,0.92107,1.54885,0.000294294,0.000294294,0.000294294
17,5441.83,1.24748,1.17183,1.46727,0.52716,0.53981,0.52353,0.34041,1.23021,0.90802,1.5548,0.000274714,0.000274714,0.000274714
18,5758.77,1.23507,1.15505,1.45558,0.608,0.59465,0.54173,0.35462,1.20592,0.8573,1.51402,0.000255133,0.000255133,0.000255133
19,6071.69,1.23117,1.14983,1.44882,0.62563,0.5533,0.53967,0.36121,1.19607,0.85508,1.51896,0.000235553,0.000235553,0.000235553
20,6386.38,1.21263,1.10854,1.43376,0.5622,0.56932,0.54183,0.36482,1.15934,0.82955,1.47936,0.000215972,0.000215972,0.000215972
21,6674.34,1.13954,0.85004,1.43511,0.5091,0.57273,0.53686,0.36101,1.16381,0.84775,1.49006,0.000196392,0.000196392,0.000196392
22,6962.1,1.12778,0.81805,1.42546,0.62369,0.5542,0.55032,0.37349,1.14252,0.79919,1.46807,0.000176812,0.000176812,0.000176812
23,7250.33,1.10446,0.78754,1.40852,0.52504,0.60741,0.5476,0.37443,1.11669,0.77836,1.44293,0.000157231,0.000157231,0.000157231
24,7538.08,1.09133,0.7617,1.39314,0.57635,0.58396,0.56857,0.38319,1.10415,0.75651,1.43278,0.000137651,0.000137651,0.000137651
25,7827.11,1.07197,0.73601,1.3747,0.56934,0.61034,0.57073,0.39011,1.09175,0.73411,1.41887,0.00011807,0.00011807,0.00011807
26,8116.43,1.05347,0.71478,1.36156,0.59818,0.59319,0.57721,0.39293,1.08245,0.72062,1.41078,9.849e-05,9.849e-05,9.849e-05
27,8404.15,1.03702,0.70187,1.35305,0.60536,0.6166,0.56865,0.3905,1.06573,0.70658,1.39424,7.89096e-05,7.89096e-05,7.89096e-05
28,8698.29,1.02121,0.67081,1.33132,0.6008,0.60816,0.57186,0.39528,1.05862,0.69162,1.38503,5.93292e-05,5.93292e-05,5.93292e-05
29,8994.35,0.99568,0.6558,1.31427,0.60275,0.61941,0.57555,0.40027,1.04858,0.68335,1.3751,3.97488e-05,3.97488e-05,3.97488e-05
30,9290.82,0.99346,0.64557,1.3075,0.61134,0.61913,0.58011,0.40222,1.04236,0.67028,1.36787,2.01684e-05,2.01684e-05,2.01684e-05
