epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,167.027,1.56673,2.99164,1.62033,0.75801,0.33056,0.33782,0.19151,1.66668,1.84444,1.89232,0.00997429,0.00332476,0.00997429,0.00332476,0.00997429,0.00332476,0.00997429,0.00332476
2,309.976,1.56317,2.18835,1.62387,0.65438,0.30533,0.31599,0.17069,1.71694,1.93239,2.06029,0.0199721,0.00665737,0.0199721,0.00665737,0.0199721,0.00665737,0.0199721,0.00665737
3,426.626,1.62208,2.22337,1.70118,0.51188,0.1605,0.17049,0.08646,1.96825,3.04458,2.33925,0.0299613,0.00998709,0.0299613,0.00998709,0.0299613,0.00998709,0.0299613,0.00998709
4,541.721,1.63811,2.10605,1.72408,0.64229,0.32391,0.31268,0.1612,1.80458,2.16731,2.1872,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,658.801,1.5783,1.92231,1.67923,0.56181,0.35374,0.33138,0.18497,1.73714,1.89146,2.07052,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,776.451,1.53057,1.78384,1.63971,0.65133,0.38715,0.38927,0.22183,1.68779,1.67216,2.03936,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,892.114,1.49506,1.69817,1.61508,0.6721,0.37829,0.39323,0.21941,1.59967,1.63085,1.88008,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,1009.51,1.4795,1.64428,1.60746,0.62463,0.40774,0.38789,0.22892,1.54476,1.48934,1.7985,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,1127.72,1.45265,1.58135,1.57778,0.59316,0.41544,0.4115,0.24412,1.61099,1.48361,1.90709,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,1247.5,1.43565,1.53032,1.56043,0.71677,0.38723,0.4216,0.24946,1.54106,1.42644,1.80187,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,1366.99,1.41912,1.49868,1.54846,0.52864,0.46928,0.44791,0.27027,1.50734,1.29672,1.7773,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,1483.8,1.40461,1.47086,1.53987,0.5909,0.439,0.44342,0.27252,1.48364,1.27139,1.75533,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,1602.04,1.39935,1.45519,1.53957,0.52449,0.42286,0.43706,0.26775,1.5043,1.24331,1.78224,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
14,1720.86,1.39314,1.43211,1.52413,0.61726,0.47333,0.45383,0.28366,1.43387,1.21142,1.69598,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
15,1838.04,1.37824,1.39933,1.51465,0.62811,0.44971,0.45897,0.28278,1.41011,1.22154,1.68568,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
16,1954.86,1.3623,1.36611,1.50695,0.63192,0.46873,0.47004,0.29004,1.41644,1.16686,1.69643,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
