Model,mAP50,mAP50-95,Training Time (s),Model Size,Version
YOLOv8-Nano,0.4231793691447961,0.2653759920666746,1157.9,n,vv
YOLOv8-Small,0.43273793538995,0.28321403413540613,1220.64,s,vv
YOLOv8-Medium,0.46423654251126273,0.2986116321027368,1411.83,m,vv
YOLO11-Nano,0.4393700245895427,0.27398766160665805,1371.62,n,v1
YOLO11-Small,0.4658306135957597,0.2950988386932584,1426.64,s,v1
YOLO11-Medium,0.4398662463711855,0.27908118018350325,1625.47,m,v1
YOLO12-Nano,0.4260610150921868,0.2710884728649075,1506.76,n,v1
YOLO12-Small,0.47442603622443325,0.2998286996325234,1620.72,s,v1
YOLO12-Medium,0.4392867348621622,0.2752490815973831,1884.34,m,v1
YOLO26-Nano,0.3512807397337844,0.22455557553565264,1480.93,n,v2
